	Unnamed: 0	belief	argument	label	explanation	generated_explanation	random_explanation
275	1162	Banning telemarketing harms businesses.	Banning telemarketing would impede many businesses from acquiring new customers.	support	(banning telemarketing; capable of; reducing sales)(reducing sales; causes; harms businesses)(banning telemarketing; not has subevent; acquiring new customers)(no new customers; capable of; harms businesses)	banning telemarketing isa action capableof harms businesses	
276	1388	Adopting gender-neutral language is too costly of a venture.	Changing to gender-neutral language would prompt the revision of billions of documents.	support	(adopting; causes; changing to)(changing to; has context; gender-neutral language)(gender-neutral language; receives action; need amendments)(need amendments; desires; prompt the revision)(prompt the revision; has context; billions of documents)(billions of documents; desires; funding)(funding; is a; too costly venture)	adopting _isa overpopulation causes too costly venture	costly is distinct from free desires information has a music is a language 
277	159	Targeted killing can be a useful tool	Targeted killing against bad guys can be smart.	support	(targeted killing; capable of; against bad guys)(against bad guys; capable of; smart)(targeted killing; is a; method)(method; capable of; useful tool)	targeted killing hascontext military isa tool	tool is a weapon used for killing 
278	252	marriage should not be done away with.	Many people still value marriage.	support	(still value marriage; causes; marriage)(people; has property; still value marriage)(good thing; not desires; done away with)(still value marriage; has context; good thing)	still value marriage _capableof infidelity isa good thing	marriage created by wedding at location people 
279	1067	Assisted suicide is not a crime.	Assisted suicide allows the doctor to stop trying to cure the patient.	counter	(assisted suicide; created by; medical personnel)(medical personnel; not desires; cure the patient)(cure the patient; receives action; stop trying)(stop trying; is a; crime)	assisted suicide isa suicide _causes committing murder hasprerequisite crime	suicide created by death at location hospital at location doctor 
280	987	Some people are just politically Apathetic	Some people will not want to participate in politics no matter what, so you should not impose it on them	support	(some people; not desires; participate in politics)(participate in politics; capable of; not for everyone)(not for everyone; capable of; politically apathetic)	some people hasproperty apathetic _similarto political apathetic	politically used for preparing_for_vote causes casting_vote is a politics 
281	1045	They do a lot of dangerous things and that includes the opposition to vaccines.	Opposing vaccines is dangerous.	support	(opposing vaccines; is a; dangerous)(opposing vaccines; synonym of; opposition to vaccines)(dangerous; synonym of; risky)	opposing vaccines _usedfor making sure re healthy causes risky	opposition has context politics has context machine used for wash_clothes motivated by goal prevent_disease used for vaccines 
282	49	Entrapment works.	Entrapment does the job of catching.	support	(entrapment; capable of; catching criminals)(catching criminals; causes; does the job)(does the job; capable of; works)	entrapment hascontext literature usedfor works	entrapment has context legal has context relieve has context job 
283	127	Regime's shouldn't punish the vulnerable by removing programs they rely on.	Poor people don't have a lot of money for food	support	(vulnerable people; part of; poor people)(poor people; desires; programs)(programs; created by; regime's)(regime's; capable of; provision)(provision; used for; money for food)	vulnerable people _usedfor dying _causes buying food hasprerequisite money for food	punish has prequisite kill motivated by goal money 
284	348	people should get married only if they want to.	Marriage is the foundation for society.	counter	(marriage; is a; foundation for society)(married; part of; marriage)(people; desires; marriage)	marriage _isa marriage	people at location wedding created by marriage 
285	108	algorithmic trading is more efficient	algorithmic trading is the future that will advance the field	support	(algorithmic; created by; algorithms)(algorithms; used for; artificial intelligence)(artificial intelligence; capable of; patterns)(patterns; causes; efficient)(efficient; used for; trading)(trading; part of; future)	algorithmic hascontext computer science _isa future	efficient is distinct from inefficient has property circular_route at location city at location market used for trading 
286	1517	the olympics should no longer exist	the olympics are too much effort.	support	(logistical challenge; capable of; too much effort)(the olympics; is a; logistical challenge)(too much effort; desires; no longer exist)	logistical challenge _usedfor computing sum causes no longer exist	longer is a single is a boxer is a athlete at location olympics 
287	1519	Host cities spend too much money when they host the olympic games.	Countries compete for hosting the olympic games due to the economic benefits they receive.	counter	(olympic games; capable of; boosting tourism)(boosting tourism; causes; lots of money)(lots of money; causes; economic benefits)(lots of money; capable of; meet games costs)(meet games costs; not has property; tax payer funded)(meet games costs; not receives action; host cities spend)	olympic games _usedfor stadium stand atlocation city hall capableof host cities spend	spend causes desire money at location casino at location games 
288	683	People should be able to dress how they choose due to freedom of expression	Freedom of expression should allow people to wear whatever they desire.	support	(people; has property; right)(right; made of; freedom of expression)(freedom of expression; used for; dressing)	people capableof dress	dress has property blue is a state_of_mind is a freedom 
289	1496	Targeted killing is a bad idea.	Targeted killing can be a good and interesting topic.	counter	(good and interesting; is not a; bad idea)(targeted killing; capable of; good and interesting)(targeted killing; capable of; justice)	good and interesting _hasproperty life _partof justice	killing has property bad not has property good 
290	212	Women are capable like men to defend our country and preventing them is gender inequality	letting women serve in the military helps end gender inequality.	support	(women; capable of; service)(service; used for; military)(military; used for; defend our country)(service; causes; gender equality)	women _usedfor changing appearance causes gender equality	defend is distinct from attack capable of humans has property male_or_female has property gender 
291	286	people are free to practice the religion they choose	Society's right to be free to practice religion should not be limited.	support	(religion; has context; society)(society; made of; people)(people; has property; right)(right; receives action; not be limited)(not be limited; has subevent; free to practice)	religion _hascontext free to practice	free not desires person is a religion 
292	853	private military companies should not be banned.	Private military companies increase competition.	support	(competition; has context; economy)(advancement; not desires; banned)(government; not causes; advancement)(economy; has context; military industrial complex)(military industrial complex; desires; fewer regulations)(fewer regulations; not created by; government)(government; is not a; private military companies)(private military companies; causes; advancement)	competition _usedfor competing causes advancement	private has context us has a military 
293	62	Religion is a reason to not participate in certain activities.	Religion doesn't always have a place in a situation.	support	(religion; has context; rules and guidelines)(rules and guidelines; has subevent; not participate)(not participate; has context; situation)(situation; synonym of; certain activities)	religion _hascontext religion isa certain activities	reason capable of humans capable of act is a religion 
294	2337	People have the choice about what to do with their own body.	If what someone does with their body harms another it should not be allowed.	counter	(harms another; not part of; choice)(harms another; capable of; not be allowed)(people; not used for; harms another)	harms another _capableof person notdesires harm another	choice has context slang has context body 
295	113	targeted killings should not be allowed.	Targeted killings are more efficient.	counter	(targeted killings; has property; moral)(moral; created by; efficient)(efficient; used for; terrorist)(efficient; receives action; allowed)	targeted killings hascontext weapons receivesaction allowed	
296	931	If someone is forced to vote, people will feel like the government has power over them, and won't feel free.	Being forced to do something is being controlled.	support	(vote; is a; choice)(choice; not capable of; being forced)(being forced; used for; someone)(someone; not desires; being controlled)(being controlled; created by; government)	vote _isa vote _distinctfrom government	government not desires person not desires forced 
297	1645	Factory farming is a source of animal rights abuses.	The world's growing population dictates that animals be used more than they are protected.	counter	(factory farming; has property; animals)(animals; used for; food)(food; used for; growing population)(food; has property; necessary)(necessary; not has context; abuses)	factory farming isa farming _hascontext abuse	factory at location city is distinct from farm at location animals 
298	21	marriage is outdated.	marriage sets the foundation for strong families.	counter	(marriage; causes; lifelong commitment)(lifelong commitment; part of; healthy relationships)(healthy relationships; causes; strong families)(strong families; antonym of; outdated)	marriage hasproperty outdated	marriage at location support has context mathematics has context strong 
299	1204	Parents should not choose the sex of their children.	People have the right to make choices for their own bodies, and that includes choices for their fetus.	counter	(people; capable of; freedom)(freedom; part of; choices)(choices; used for; sex)(sex; used for; their kids)(people; made of; parents)	people capableof learn new things _desires parents	parents desires person desires choices 
300	2	Marriage is the backbone of society.	Marriage forms strong families.	support	(marriage; used for; couples)(couples; capable of; strong families)(strong families; is a; backbone of society)	marriage _usedfor brother atlocation family definedas backbone of society	marriage at location support has context mathematics has context strong 
301	262	marriage is extremely important for strong families.	Marriage has been a staple in society for centuries.	support	(marriage; is a; staple in society)(staple in society; used for; strong families)(strong families; has property; benefits society)(benefits society; is a; extremely important)	marriage hasproperty very important	important has property life part of love at location marriage 
302	1491	The Olympic games cause taxes to increase for the host city thanks to the massive spending to ensure everything is running correctly	The added tourism from the Olympic games brings more money overall to the city, which will make the added taxes meaningless	counter	(olympic games; is a; expense)(expense; receives action; taxes to increase)(added tourism; causes; brings more money)(olympic games; causes; added tourism)(added tourism; has context; host city)(taxes to increase; is a; meaningless)	olympic games _usedfor playing chess hasprerequisite chess pawn hasproperty meaningless	games at location casino at location money is a taxes 
303	1781	Zero-tolerance policies are good.	Clear communication doesn't come without zero-tolerance policies.	support	(zero-tolerance policies; causes; clear communication)(clear communication; is a; good)(policies; has context; beneficial)(zero-tolerance policies; part of; policies)(good; synonym of; beneficial)	zero-tolerance policies hasproperty harmful _distinctfrom beneficial	
304	73	the prisons at guantanamo bay are aided by a detection field.	guantanamo bay prisons have had detection help with prisoners	support	(had detection help; used for; prisoners)(had detection help; receives action; aided)(aided; created by; using detection field)(prisons; at location; guantanamo bay)(guantanamo bay; capable of; had detection help)	had detection help _motivatedbygoal send criminal to prison hasprerequisite have detection help	prisons has context beast has context military used for getting_in_line used for prisoners 
305	741	School uniforms are good at eliminating class bias.	School uniforms are good at reducing class bias, eliminating such bias might require more resources than just a uniform.	support	(school uniforms; used for; elimination)(elimination; part of; class bias)(class bias; at location; schools)	school uniforms atlocation school _isa schools	uniforms used for hat at location closet at location school 
306	425	Factory farming abuses animals.	Factory farming feeds millions.	counter	(factory farming; capable of; cheap meals)(cheap meals; used for; feeds millions)(feeds millions; not created by; abuses animals)	factory farming isa farm usedfor abuse animals	
307	2328	Student loans should not be subsidized.	Student loans make students slack off due to not being responsible right away.	support	(student loans; receives action; subsidized)(subsidized; causes; deferred responsibility)(deferred responsibility; causes; slack off)(slack off; is a; bad)	student loans _usedfor paying bills hasproperty bad	student has prequisite go_to_school causes desire ambition causes desire in_charge_of_project motivated by goal responsible 
308	1867	There is no reason for subsidized student loans.	If there were no subsidized student loans, there would be very few students occupying the countries schools.	counter	(poor; receives action; subsidized student loans)(subsidized student loans; used for; expensive tuition)(reason for subsidized; has context; expensive tuition)(students; desires; college)(students; has property; poor)(expensive tuition; used for; schools)(reason for subsidized; has context; affordable)	poor distinctfrom expensive	student is a person desires space used for occupying 
309	1920	economic sanctions should no longer exist.	Economic sanctions are necessary for countries to obey orders.	counter	(economic sanctions; causes; obey orders)(obey orders; has context; necessary)(necessary; desires; exist)	economic sanctions _causes fighting inflation hasprerequisite money nothasproperty exist	longer is a single has prequisite love_else motivated by goal love motivated by goal please_parents has subevent obey 
310	2063	Some people are politically apathetic, they should not be forced to vote.	Everyone should vote in other to put good leaders in position	counter	(people; not capable of; not care politics)(not care politics; synonym of; apathetic)(everyone; desires; should vote)(people; desires; should vote)(should vote; has context; forced to vote)	people receivesaction forced to vote	forced not desires person is a citizen capable of vote 
311	56	Guantanamo Bay should be shut down.	Guantanamo Bay holds terrible people.	counter	(guantanamo bay; capable of; holding)(holding; used for; terrible people)(terrible people; receives action; guantanamo prison)(guantanamo prison; not receives action; shut down)	guantanamo bay isa prison _atlocation computers capableof shut down	shut not desires person is a war has property terrible 
312	500	Scientology is a religion like any other.	Scientology is a religion with a church.	support	(scientology; part of; belief)(belief; part of; religion)(religion; at location; churches)(churches; part of; any other)	scientology _hascontext or _distinctfrom any other	scientology is a organisation is a group has context religion 
313	2289	Private military companies shouldn't work together due to inconsistencies.	Private military companies can learn more information by working together.	counter	(private military companies; capable of; learn more information)(work together; synonym of; cooperation)(cooperation; capable of; learn more information)(cooperation; not capable of; inconsistencies)	private military companies _isa companies hasa inconsistencies	private has context us has a military 
314	698	payday loans should not exist.	Payday loans exploit those with limited means.	support	(payday loans; capable of; exploitation)(exploitation; used for; poor people)(poor people; has property; limited means)(exploitation; receives action; should not exist)	payday loans _usedfor getting money from causes not capableof should not exist	payday is a candy desires person not desires limited 
315	1972	There should not be parades that celebrate homosexuality.	It's unfair for some people to be able to have parades while other ideas aren't as widely celebrated.	support	(parades; capable of; honor)(honor; synonym of; celebrate)(honor; not desires; homosexuality)(celebrate; is a; unfair)	parades _atlocation children hasproperty fair distinctfrom unfair	celebrate desires person not desires free is distinct from slavery is a widely 
316	847	Since they give weapons to our country, we shouldn't place a ban on private military companies.	The country is in need of weapons.	support	(country; is a; need of weapons)(private military companies; capable of; provide weapons)(need of weapons; desires; provide weapons)(provide weapons; not desires; ban)	country _isa ban	ban is a action has context military at location country 
317	282	Cosmetic surgery is bad.	Cosmetic surgery helps dysmorphia.	counter	(cosmetic surgery; capable of; helps dysmorphia)(helps dysmorphia; synonym of; corrects deformity)(corrects deformity; is not a; bad)	cosmetic surgery _isa plastic surgery hasproperty bad	surgery is a artifact part of plant is a henna is a cosmetic 
318	240	the blockade is a positive.	The blockade needs to be removed.	counter	(blockade; is a; barrier)(barrier; not part of; positive)(barrier; receives action; removed)	blockade _atlocation vehicle bomb receivesaction removed	
319	833	School uniforms create less conflict.	School uniforms are less distracting.	support	(school uniforms; not has property; distracting)(distracting; causes; conflict)(conflict; is not a; conducive to learning)	school uniforms atlocation school hasproperty conducive to learning	uniforms used for hat at location closet at location school 
320	2300	The three strikes laws don't show any empathy, and haven't been proven to be functional.	Some cases have extenuating circumstances.	counter	(crimes; part of; cases)(cases; capable of; extenuating circumstances)(three strikes laws; not made of; extenuating circumstances)(extenuating circumstances; desires; empathy)	crimes _notdesires person desires empathy	
321	1757	Rules are great for kids.	Kids do not need to be completely governed by rules.	counter	(kids; not desires; governed by rules)(governed by rules; not capable of; great)(governed by rules; has context; completely)	kids hasa legs _hasa all humans hasproperty completely	rules at location meeting used for school at location kids 
322	1120	Minors may have many reasons for getting cosmetic surgery.	It is better for a minor to learn to deal with their body issues, rather than getting cosmetic surgery.	counter	(minors; has property; still learning)(still learning; used for; their body)(their body; not desires; cosmetic surgery)	minors _isa babies _usedfor silicone atlocation cosmetic surgery	cosmetic is a henna is a plant part of body 
323	2223	The cost of 3 strike laws are extreme for criminals.	It is not for lack of extreme punishment that 3 strike laws impact repeat offenders.	counter	(3 strike laws; not capable of; impact repeat offenders)(impact repeat offenders; not has property; extreme for criminals)(extreme for criminals; not has context; desired effect)	3 strike laws _hasprerequisite wage war motivatedbygoal effect isa desired effect	strike capable of disease used for killing causes punishment 
324	350	The blockade is imperative for safety.	The blockade should stay the way it is.	support	(blockade; capable of; preventing unwanted visitors)(preventing unwanted visitors; used for; safety)(safety; is a; imperative)(imperative; desires; stay)	blockade _atlocation exit turnstile usedfor stay	blockade has context chess has context move is distinct from stay 
325	1592	Religious people should have freedom to share their views at school	No one should have to hide what they believe out of fear of offending someone else.	support	(freedom of speech; is a; rights)(rights; at location; school)(share views; antonym of; hide)(rights; has subevent; share views)(freedom; part of; freedom of speech)(share views; used for; religious people)(rights; not causes; fear)	freedom of speech _usedfor debating politics causes fear	school at location audience at location show is distinct from hide 
326	67	Guantanamo Bay is in operation.	The US prison in Cuba houses possible terrorists captured from around the world.	support	(guantanamo bay; is a; us prison)(us prison; has property; operation)(operation; at location; cuba)(cuba; is a; country)(country; capable of; housing possble terrorist)	guantanamo bay _atlocation terrorist _isa housing possble terrorist	bay at location lake at location countryside at location prison 
327	236	atheism violates freedom of religion.	Atheism may offend those who are religious.	support	(atheism; capable of; offend those)(offend those; has property; who are religious)(offend those; capable of; restrictive)(restrictive; causes; violates freedom)(violates freedom; has subevent; religion)	atheism isa religion	freedom is a belief is a atheism 
328	1588	This helps with educational placement so students are challenged but not above their limitations.	All students deserve the same learning opportunities so educational placement is biased against students that are in lower levels.	counter	(students; desires; same learning opportunities)(lower levels; desires; same learning opportunities)(educational placement; not capable of; same learning opportunities)(educational placement; capable of; biased)	students _usedfor attending class hassubevent biased	students at location classroom used for education has context higher is distinct from lower 
329	242	Women should not be banned from combat.	Women and men are equal under the law.	support	(women; desires; equal)(men; desires; equal)(equal; not capable of; banned from combat)	women receivesaction banned from combat	women is distinct from man has context computing has context unbalanced is distinct from equal 
330	428	Treating animals as products is not humane	Animals are live creatures.	support	(animals; part of; living things)(living things; synonym of; live creatures)(live creatures; not used for; products)	animals _isa animals _usedfor products	products is a food is a animals 
331	207	Cloning is good because it can replace loved ones.	Losing a loved one is hard and cloning does not replace them but comes as close as possible by creating a person of the same genetic makeup.	support	(cloning; used for; creating a person)(creating a person; capable of; replace loved ones)(replace loved ones; used for; loved lost one)	cloning _usedfor cloning _isa cloning _hascontext loved lost one	cloning used for reproducing causes child desires loved 
332	1568	Humanitarian aid doesn't get to those in need.	people still get their aid	counter	(humanitarian aid; capable of; help)(help; has context; people)(people; is a; those in need)(help; synonym of; aid)	humanitarian aid isa aid	aid has prequisite help used for people 
333	1735	Factory farming should not be banned.	Factory farming is popular worldwide.	support	(factory farming; has context; popular worldwide)(popular worldwide; has context; important)(important; not desires; banned)	factory farming hascontext agriculture _isa agriculture receivesaction banned	factory is a company has context legal has context popular 
334	467	Scientology is bad.	Scientology creates an attitude of superiority.	support	(scientology; capable of; hierarchy)(hierarchy; made of; superiority)(superiority; has property; bad)	scientology _hascontext bad	scientology is a organisation is a organization made of people has a names has subevent creates 
335	2077	Compensating only the executives greatly is not ideal.	All workers have contributed greatly to the success of the company, executives only should not be compensated greatly	support	(all workers; capable of; contributed greatly)(contributed greatly; desires; compensated greatly)(all workers; part of; company)(compensating; created by; company)(company; not made of; executives)	all workers _isa executives	
336	393	Society would devolve into crime and poverty if there were no regulations.	Regulations don't allow society to run amuck.	support	(regulations; used for; rules)(rules; used for; crimes and poverty)(rules; at location; society)	regulations _hascontext society	crime not desires person part of society 
337	613	The zero tolerance policy does not reduce violence or drug use by kids.	The zero tolerance policy isn't good at preventing drug use or violence by kids.	support	(zero tolerance policy; not capable of; prevention)(prevention; used for; drug use)(drug use; used for; children)(children; part of; kids)	zero tolerance policy isa policy _hasa everyone hasa kids	tolerance has prequisite drinking causes getting_drunk causes violence 
338	29	Cannabis can be an effective medication.	It is not good for people with a disability to use cannabis.	counter	(not good; used for; people with disability)(cannabis; capable of; unknown effects)(unknown effects; causes; not good)(people with disability; receives action; use cannabis)(use cannabis; not capable of; effective medication)	not good _causes taking medicine hasprerequisite effective medication	cannabis has property good 
339	1712	Family relationships get weak and suffer when people spend too much time on social media.	People focus on their phones	support	(people; desires; phones)(social media; part of; phones)(time; used for; phones)	people capableof talk to _usedfor phones	relationships causes desire live causes desire family is a people 
340	865	foster care kids tend to not be looked after enough.	Social services tends to be swamped but do not neglect foster children.	counter	(foster care kids; has property; taking care of)(taking care of; created by; social services)(social services; capable of; looked after enough)(looked after enough; used for; foster children)	foster care kids atlocation foster home usedfor foster children	kids at location disneyland at location people desires social 
341	2006	The right to bear arms helps people defend themselves.	It will make it much harder for criminals to have arms, if the right to bear arms was abolished.	counter	(bear arms; receives action; abolished)(abolished; causes; less guns available)(less guns available; causes; harder for criminals)(right; has subevent; bear arms)(harder for criminals; has context; to get guns)(harder for criminals; is a; good)	bear arms _capableof humans hasproperty good	defend has context sports has context leg is distinct from arms 
342	196	Fighting over holy lands and religions causes wars	Wars are not just about holy lands and religion	counter	(wars; created by; any reasons)(any reasons; not used for; holy lands)(any reasons; not used for; religions)(wars; synonym of; fighting)(holy lands; not capable of; causes wars)(religions; not capable of; causes wars)	wars _isa wars causes wars	wars causes religion 
343	17	Police entrapment should not be allowed	Police entrapment relies on the baseless assumption that the person being entrapped would have committed the crime even without the entrapment	support	(entrapment; used for; set-ups)(set-ups; created by; police)(police; desires; creating criminals)(creating criminals; synonym of; unethical)(unethical; not desires; allowed)	entrapment hascontext legal similarto allow	entrapment has context legal has context arrest capable of police 
344	1058	People have the right to what they want to do with their body	People when in need of fund they can decide to sell their organ so far it is theirs.	support	(people; capable of; freedom)(freedom; part of; right)(right; used for; organ)(organ; part of; their body)	people hasa bodies _madeof body _isa our body	body at location organ 
345	714	School uniforms are too restricting.	School uniforms do not allow for individual style.	support	(school uniforms; not used for; fashion)(fashion; part of; individual style)(individual style; receives action; restricting)	school uniforms atlocation school usedfor restriction	uniforms used for hat at location closet at location school 
346	1108	People who engage in assisted suicide have no conscience	People who engage assisted suicide are killing someone else which is heartless	support	(assisted suicide; has context; immoral)(immoral; has context; no conscience)(assisted suicide; is a; killing someone else)(killing someone else; has context; heartless)(heartless; has context; immoral)	assisted suicide hascontext religion hasproperty immoral	conscience causes desire help causes giving_assistance causes death causes killing 
347	920	Homeopathy theory is inefficient in science	People react to medication differently, this support homeopathy theory	counter	(homeopathy; part of; alternative medicine)(alternative medicine; part of; medication)(medication; not has context; inefficient in science)	homeopathy hascontext medicine hasproperty inefficient in science	science is a biology has context attenuation has context homeopathy 
348	1894	Choosing the sex of your child doesn't harm anyone, so if families want to do it, it should be legal.	Some people have legitimate reasons to want one gender of the other.	support	(choosing the sex; capable of; legitimate)(legitimate; has context; reasons)(legitimate; has context; should be legal)	choosing the sex _hassubevent proposing to woman causes should be legal	child part of son is distinct from female is a gender 
349	1298	It's fine for a parent to stay home, but nobody else has to ensure that a parent can stay home.	Children are the responsibility of the parents, and it's up to them to be able to be home.	support	(stay home; has context; nobody else ensure)(children; part of; parents)(can stay home; created by; parents)(nobody else ensure; created by; parents)	stay home _capableof parents	parent at location family at location love is a responsibility 
350	253	Entrapment is good if done properly.	The bad parts of entrapment can be eliminated if the criminal can be given the opportunity to refuse.	support	(entrapment; has context; criminal)(criminal; capable of; refuse)(entrapment; created by; criminal can refuse)(criminal can refuse; synonym of; deception)(deception; capable of; good)(good; synonym of; positive)(positive; desires; done properly)	entrapment _usedfor getting away with crime hassubevent do right _hasprerequisite done properly	entrapment has context chemistry is a person is a criminal 
351	426	Social media causes the fomo culture, which isn't healthy for people.	People don't like to feel like they're missing something.	support	(social media; capable of; people feelings)(people feelings; made of; missing something)(missing something; part of; fomo culture)(missing something; not part of; healthy)(healthy; used for; people)	social media _hascontext people	social desires people 
352	344	Stem cell research can cure medical conditions.	There are alternatives to stem cell research.	counter	(stem cell research; not capable of; healing)(healing; synonym of; cure medical conditions)(alternatives; used for; cure medical conditions)	stem cell research isa research _hasprerequisite cure medical conditions	research used for science is a biology has context cell 
353	394	Factory farming helps produce food cheaply, and is good for families who have low incomes.	Poor people don't have a lot of money for food	support	(factory farming; capable of; cheap meals)(cheap meals; used for; poor people)(poor people; part of; families)(families; not has property; lot of money)	factory farming isa farming hasprerequisite lot of money	farming is a economics has context wealth is distinct from poor 
354	957	Foster care provides needy children a stable home.	Many people abuse the foster system for the support money provided by the government.	counter	(foster care; has property; dangerous)(dangerous; created by; desires)(desires; used for; support money)(support money; not used for; children)(children; at location; foster system)	foster care atlocation foster system	needy has property cats has a bones at location person desires support 
355	588	Public defenders should be a mandatory part of the legal system	Public defenders being mandatory would avoid people using their power and privilege to break laws.	support	(public defenders; used for; poor people)(poor people; desires; mandatory)(mandatory; used for; legal system)(legal system; used for; abuse power)	public defenders _usedfor obstructing justice hassubevent abuse power	legal has context privilege 
356	1678	Factory farming can be efficient, and will lower the cost of food production.	The poor need food they can afford.	support	(affordable food; is a; can afford)(factory farming; is a; productive)(poor; desires; affordable food)(affordable food; created by; factory farming)(productive; synonym of; efficient)(affordable food; capable of; lower the cost)	affordable food _desires person notdesires lower the cost	farming is a economics has context wealth is distinct from poor 
357	238	plastic surgery can be quite helpful.	People need therapy, not surgery.	counter	(people; desires; need therapy)(people; not desires; pain)(pain; created by; surgery)(surgery; has subevent; plastic surgery)(plastic surgery; not capable of; desirable)(desirable; not causes; quite helpful)	people hasproperty very helpful	surgery used for hospital at location people 
358	1938	A multi-party system allows for the people to choose between various sets of ideas.	A multi-party system allows people to choose terrible options out of confusion.	counter	(multi-party system; has property; many candidates)(multi-party system; causes; confusion)(many candidates; capable of; sets of ideas)(sets of ideas; causes; confusion)(people to choose; not desires; confusion)	multi-party system _isa system _partof confusion	choose has context mathematics is a act is a war has property terrible 
359	1370	Child actors should be banned.	Child actors should have parents and guardians monitoring them to ensure their well-being.	counter	(child actors; has property; young and vulnerable)(young and vulnerable; receives action; guardians monitoring)(guardians monitoring; causes; well adjusted child)(well adjusted child; is a; good thing)(good thing; not desires; banned)	child actors _usedfor doll distinctfrom real hascontext banned	actors at location play has prequisite child 
360	324	That Guantanamo Bay prison should be kept open and the prisoners there locked up.	People are being held there without charges and this is not debatable.	counter	(guantanamo bay; used for; possible criminals)(possible criminals; has property; people)(possible criminals; receives action; locked up)(locked up; receives action; without charges)(without charges; is a; bad thing)(bad thing; has context; should be stopped)(should be stopped; not causes; kept open)	guantanamo bay isa prison _atlocation books receivesaction kept open	prisoners at location military_base at location people 
361	93	Algorithmic trading is more efficient.	Algorithmic trading is more precise.	support	(algorithm; has property; precise)(precise; synonym of; efficient)(efficient; used for; trading stock)(trading stock; has context; algorithmic trading)(algorithmic trading; desires; large scale implementation)	algorithm isa large scale implementation	trading has context job has context computing has context algorithmic 
362	1769	Free speech means free for all viewpoints	Things people say can cause violence	counter	(things people say; causes; violence)(viewpoints; part of; things people say)(free speech; part of; things people say)	things people say _isa things people say	free has context social desires people 
363	1139	Whaling doesn't serve any purpose anymore, other han killing for fun.	There is no reason that people should be killing whales just for fun, and without a necessary purpose.	support	(whaling; not used for; any activities)(any activities; has property; purpose)(purpose; has property; fun)	whaling isa killing people usedfor fun	whaling is a human_activity used for going_somewhere used for reason 
364	1013	Suddenly being with people you don't know can scare you.	Being placed with people you don't know can leave a lasting bad impression because it's scary.	support	(strangers; capable of; scare you)(scare you; causes; lasting bad impression)(lasting bad impression; created by; people)(people; has property; not familiar with)	strangers atlocation party hascontext not familiar with	scare has subevent surprising has subevent keep_secrets capable of friends capable of leave 
365	778	If you have to wear a uniform, and want to show your wealth, you can do that with jewelry, accessories, and expensive bags.	Jewelry and hairstyles create different looks	support	(wealth; created by; accessories)(accessories; made of; jewelry)(jewelry; not part of; school uniforms)(school uniforms; not used for; create different looks)	wealth _usedfor buying shirt causes create different looks	expensive has property ring is a jewelry 
366	323	Since kids can't decide what to wear if they have a uniform, and they have a right to decide on their own, school uniforms should be banned.	School uniforms are to dissuade bullying over clothing.	counter	(school uniforms; used for; children)(children; capable of; bullying over clothing)(children; has property; right to decide)(bullying over clothing; not receives action; banned)	school uniforms atlocation school hasproperty illegal distinctfrom banned	uniforms used for hat at location closet at location school 
367	1827	Stay at home Dads tends to be unproductive when women are productive	Stay at home do nothing which is wrong men are strong, they should work	support	(men; has context; strong)(strong; desires; work)(work; not at location; at home)(work; has context; productive)	men capableof work hasproperty productive	home is distinct from work 
368	1255	Something should not be banned unless someone is harmed.	People have freedom of expression and speech.	support	(banned; used for; dangerous)(dangerous; has context; someone is harmed)(people; has context; freedom of expression)(freedom of expression; not has context; banned)	banned _isa banned	
369	1495	Governments will eventually become too reliant on targeted killing which will lead to the death of innocents.	Governments will see targeted killing as an easy solution to complex security issues which need long term solutions..	support	(targeted killing; synonym of; assassination)(assassination; causes; death of innocents)(targeted killing; not part of; long term solutions)(governments; capable of; become too dependent)(become too dependent; synonym of; too reliant)(become too dependent; has context; targeted killing)	targeted killing _isa targeted killing	death causes fighting_enemy used for governments 
370	1312	It should be up to a company to decide how much they pay their executives.	Companies determine how much to compensate their executives.	support	(pay their executives; has context; individual decision)(individual decision; used for; company to decide)(compensate their executives; has context; companies determine)(company to decide; synonym of; companies determine)	pay their executives _capableof companies determine	pay is distinct from free has context logic is a logos has a companies 
371	1257	Abolishing the right to keep and bear arms will keep people safe.	Abolishing the right to keep and bear arms will remove a lot of guns from the populace.	support	(bear arms; capable of; gun deaths)(gun deaths; not capable of; keep people safe)(abolishing; causes; remove)(remove; causes; keep people safe)	bear arms _capableof bear usedfor keep people safe	arms is a guns 
372	1595	Due to lack of oversight private military companies do harm.	The military is open and honest compared a private company due to oversight.	counter	(private military companies; not capable of; lack of supervision)(lack of supervision; synonym of; lack of oversight)(private military companies; capable of; open and honest)(open and honest; not capable of; do harm)(private military companies; is a; private company)	private military companies isa private company	private has context us has a military 
373	640	Zero-tolerance policies teach children to respect rules, which is necessary with the increase in antisocial behavior.	zero-tolerance policies can punish the innocent.	counter	(zero-tolerance policies; has property; rigid)(anti-social behavior; not used for; innocent)(innocent; receives action; punish)(punish; has context; wrongly accused)(wrongly accused; is not a; necessary)(rigid; not part of; anti-social behavior)	zero-tolerance policies isa anti social behavior	children used for playing causes injury causes desire punish 
374	134	People should believe what they choose to believe.	This country has freedom of religion.	support	(this country; capable of; freedom of religion)(freedom of religion; capable of; choose to believe)(people; desires; freedom of religion)	this country _atlocation religious tract usedfor freedom of religion	choose has prequisite buy has prequisite skateboard motivated by goal freedom 
